School|st_ratio
FARWELL ELEMENTARY SCHOOL|11.2
ORONO MIDDLE SCHOOL|11.21
MATTANAWCOOK ACADEMY|11.22
HOLDEN SCHOOL|11.23
WATERVILLE JUNIOR HIGH SCHOOL|11.23
EASTPORT ELEMENTARY SCHOOL|11.25
FAIRMOUNT SCHOOL|11.25
OLD TOWN HIGH SCHOOL|11.26
SHAPLEIGH SCHOOL|11.26
HOULTON JUNIOR HIGH SCHOOL|11.29
WELLS HIGH SCHOOL|11.29
CAMDEN-ROCKPORT MIDDLE SCHOOL|11.33
CARIBOU MIDDLE SCHOOL|11.35
ELLSWORTH HIGH SCHOOL|11.35
WILLIAM H ROWE SCHOOL|11.35
FALMOUTH HIGH SCHOOL|11.36
SHAPLEIGH MEMORIAL SCHOOL|11.36
HARMONY ELEMENTARY|11.38
LYMAN MOORE MIDDLE SCHOOL|11.39
MANCHESTER ELEMENTARY SCHOOL|11.4
TURNER ELEMENTARY SCHOOL|11.4
ELLA P BURR SCHOOL|11.42
PRESUMPSCOT SCHOOL|11.42
ALFRED ELEMENTARY SCHOOL|11.44
BOOTHBAY REGION ELEM SCHOOL|11.44
FRANK H HARRISON MIDDLE SCHOOL|11.44
WINTHROP MIDDLE SCHOOL|11.44
DANIEL W MERRITT SCHOOL|11.45
CAPE ELIZABETH MIDDLE SCHOOL|11.46
HALL-DALE MIDDLE SCHOOL|11.46
EDDINGTON SCHOOL|11.47
GRAY-NEW GLOUCESTER HIGH SCHOOL|11.48
PENQUIS VALLEY HIGH SCHOOL|11.48
EDITH A LOMBARD SCHOOL|11.5
CHELSEA ELEMENTARY SCHOOL|11.51
RAYMOND ELEMENTARY SCHOOL|11.53
MEMORIAL MIDDLE SCHOOL|11.55
EDNA LIBBY ELEMENTARY SCHOOL|11.56
FORT KENT ELEMENTARY SCHOOL|11.57
CAMDEN HILLS REGIONAL H S|11.58
FOURTEENTH STREET SCHOOL|11.58
HICHBORN MIDDLE SCHOOL|11.59
READFIELD ELEMENTARY SCHOOL|11.59
CARMEL ELEMENTARY SCHOOL|11.6
SO AROOSTOOK SCHOOL|11.6
EDWARD LITTLE HIGH SCHOOL|11.63
WOODLAND JR-SR HIGH SCHOOL|11.64
HARRISON ELEMENTARY|11.67
BRUNSWICK HIGH SCHOOL|11.68
DR LEWIS S LIBBY SCHOOL|11.69
MARY SNOW SCHOOL|11.69
ORONO HIGH SCHOOL|11.71
OXFORD HILLS MIDDLE SCHOOL|11.71
WEST BATH SCHOOL|11.71
DIRIGO HIGH SCHOOL|11.72
GLADYS WEYMOUTH ELEM SCHOOL|11.72
OCEANSIDE HIGH SCHOOL EAST|11.72
CARRIE RICKER SCHOOL|11.76
LEAVITT AREA HIGH SCHOOL|11.77
LINCOLN SCHOOL|11.77
KENNEBUNKPORT CONSOLIDATED SCH|11.79
MADAWASKA MIDDLE/HIGH SCHOOL|11.79
SACOPEE VALLEY MIDDLE SCHOOL|11.79
SCARBOROUGH MIDDLE SCHOOL|11.8
YORK MIDDLE SCHOOL|11.8
BALDWIN CONSOLIDATED SCHOOL|11.81
MEMORIAL SCHOOL|11.81
WASHBURN SCHOOL|11.82
HOULTON SOUTHSIDE SCHOOL|11.83
BROWNVILLE ELEMENTARY SCHOOL|11.86
SPRUCE MOUNTAIN HIGH SCHOOL|11.86
HALL-DALE ELEMENTARY SCHOOL|11.87
MONMOUTH MIDDLE SCHOOL|11.89
SACO MIDDLE SCHOOL|11.89
BELFAST AREA HIGH SCHOOL|11.9
MONROE ELEMENTARY SCHOOL|11.9
FREEPORT HIGH SCHOOL|11.91
JAMES H BEAN SCHOOL|11.93
BATH MIDDLE SCHOOL|11.95
BIDDEFORD PRIMARY SCHOOL|11.96
YARMOUTH HIGH SCHOOL|11.96
NOBLE HIGH SCHOOL|11.98
BUXTON CENTER ELEMENTARY SCHOOL|12
MILL POND SCHOOL|12
ROBBINSTON GRADE SCHOOL|12
YORK HIGH SCHOOL|12
KATAHDIN MIDDLE/HIGH SCHOOL|12.01
VASSALBORO COMMUNITY SCHOOL|12.03
MESSALONSKEE MIDDLE SCHOOL|12.04
RICHMOND MIDDLE SCHOOL|12.06
ACADEMY HILL SCHOOL|12.07
NOBLE MIDDLE SCHOOL|12.07
WESTBROOK HIGH SCHOOL|12.07
WALDO T SKILLIN ELEMENTARY SCHOOL|12.08
TROY A HOWARD MIDDLE SCHOOL|12.09
BUCKSPORT MIDDLE SCHOOL|12.1
MORISON MEMORIAL SCHOOL|12.11
BOWDOIN CENTRAL SCHOOL|12.12
WILLIAMS ELEMENTARY SCHOOL|12.13
DURHAM COMMUNITY SCHOOL|12.14
LAWRENCE HIGH SCHOOL|12.14
CORNVILLE REGIONAL CHARTER SCHOOL|12.15
HOPE ELEMENTARY SCHOOL|12.16
SOUTH PORTLAND HIGH SCHOOL|12.16
WARSAW MIDDLE SCHOOL|12.16
MIDDLE SCHOOL OF THE KENNEBUNKS|12.17
CAPE COD HILL ELEM SCHOOL|12.18
EIGHT CORNERS ELEMENTARY SCHOOL|12.25
TERESA C HAMLIN ELEM SCHOOL|12.25
DYER ELEMENTARY SCHOOL|12.27
FISHER-MITCHELL SCHOOL|12.27
HORACE MITCHELL PRIMARY SCHOOL|12.27
FORT FAIRFIELD ELEMENTARY SCHOOL|12.28
HOLLIS SCHOOL|12.31
BAXTER ACADEMY FOR TECH & SCIENCES|12.33
MT ABRAM REGIONAL HIGH SCHOOL|12.34
CANAAN ELEMENTARY SCHOOL|12.35
MATTANAWCOOK JR HIGH SCHOOL|12.35
WINDHAM HIGH SCHOOL|12.35
FALMOUTH ELEMENTARY SCHOOL|12.36
GREAT SALT BAY COMMUNITY SCHOOL|12.36
MADAWASKA ELEMENTARY SCHOOL|12.37
OXFORD-CUMBERLAND CANAL SCHOOL|12.39
PLEASANT HILL SCHOOL|12.39
MT VIEW MIDDLE SCHOOL|12.4
DIRIGO ELEMENTARY SCHOOL|12.41
MARANACOOK COMMUNITY HIGH SCH|12.41
GRANITE STREET SCHOOL|12.42
PENINSULA SCHOOL|12.42
GREENE CENTRAL SCHOOL|12.44
GUY E ROWE SCHOOL|12.44
FORT KENT COMMUNITY HIGH SCHOOL|12.46
GARDINER REGIONAL MIDDLE SCHOOL|12.46
WINSLOW HIGH SCHOOL|12.48
NORTH YARMOUTH MEMORIAL SCHOOL|12.49
FRANK I BROWN ELEMENTARY SCHOOL|12.5
CALAIS ELEMENTARY SCHOOL|12.51
ELLSWORTH ELEMENTARY-MIDDLE SCHOOL|12.51
HOULTON HIGH SCHOOL|12.51
YOUNG SCHOOL|12.51
JAMES F. DOUGHTY SCHOOL|12.52
CAPTAIN ALBERT W. STEVENS SCHOOL|12.53
BONNY EAGLE HIGH SCHOOL|12.54
OAK HILL MIDDLE SCHOOL|12.54
CORNISH ELEMENTARY SCHOOL|12.55
MEDOMAK VALLEY HIGH SCHOOL|12.55
MONTELLO SCHOOL|12.56
OAK HILL HIGH SCHOOL|12.56
OLD TOWN ELEMENTARY SCHOOL|12.56
CARL J LAMB SCHOOL|12.58
MT ARARAT HIGH SCHOOL|12.58
SEBASTICOOK VALLEY MIDDLE SCHOOL|12.59
WASHBURN DISTRICT HIGH SCHOOL|12.6
SOUTH HIRAM ELEMENTARY SCHOOL|12.61
WILLIAM S. COHEN SCHOOL|12.63
SHERWOOD HEIGHTS ELEMENTARY SCH|12.65
SYLVIO J GILBERT SCHOOL|12.67
HERMON MIDDLE SCHOOL|12.68
SOLON ELEMENTARY SCHOOL|12.68
WASHBURN DISTRICT ELEM SCHOOL|12.71
MOUNTAIN VALLEY HIGH SCHOOL|12.73
PITTSTON CONSOLIDATED SCHOOL|12.73
BONNY EAGLE MIDDLE SCHOOL|12.74
CENTRAL MIDDLE SCHOOL|12.76
MARSHWOOD MIDDLE SCHOOL|12.76
MILBRIDGE ELEMENTARY SCHOOL|12.79
PHILIP W SUGG MIDDLE SCHOOL|12.81
WILLARD SCHOOL|12.81
MARSHWOOD GREAT WORKS SCHOOL|12.82
DORA L SMALL ELEMENTARY SCHOOL|12.85
FARRINGTON SCHOOL|12.85
CHINA PRIMARY SCHOOL|12.86
WENTWORTH SCHOOL|12.86
ABRAHAM LINCOLN SCHOOL|12.89
ROSE M GAFFNEY SCHOOL|12.89
SANFORD HIGH SCHOOL|12.89
MILES LANE SCHOOL|12.91
C K BURNS SCHOOL|12.93
CARIBOU HIGH SCHOOL|12.93
LONGFELLOW SCHOOL-PORTLAND|12.93
HARRISON LYSETH ELEM SCHOOL|12.94
NEWPORT ELEMENTARY SCHOOL|12.96
SANFORD JR HIGH SCHOOL|12.97
HENRY L COTTRELL SCHOOL|12.99
MT BLUE HIGH SCHOOL|12.99
MINOT CONSOLIDATED SCHOOL|13.01
ELM STREET SCHOOL-MECHANIC FALLS|13.04
DOWNEAST SCHOOL|13.06
BELGRADE CENTRAL SCHOOL|13.08
KINGMAN ELEMENTARY SCHOOL|13.08
GARDINER AREA HIGH SCHOOL|13.1
RALPH M ATWOOD PRIMARY SCHOOL|13.13
FAYETTE CENTRAL SCHOOL|13.14
STEARNS JR-SR HIGH SCHOOL|13.14
WILLIAMS-CONE SCHOOL|13.14
FRED P HALL SCHOOL|13.2
LEWISTON HIGH SCHOOL|13.2
CARAVEL MIDDLE SCHOOL|13.23
MABEL I WILSON SCHOOL|13.24
WINDSOR ELEMENTARY SCHOOL|13.24
GERALD D CUSHING SCHOOL|13.25
SCARBOROUGH HIGH SCHOOL|13.25
PISCATAQUIS COMMUNITY ELEMENTARY|13.26
SEA ROAD SCHOOL|13.26
CASCADE BROOK SCHOOL|13.27
BERWICK ELEMENTARY SCHOOLS|13.29
COASTAL RIDGE ELEMENTARY|13.3
HILLTOP ELEMENTARY SCHOOL|13.3
SE DO MO CHA MIDDLE SCHOOL|13.3
NOKOMIS REGIONAL HIGH SCHOOL|13.31
NARRAGANSETT ELEMENTARY SCHOOL|13.32
TURNER PRIMARY SCHOOL|13.32
JEFFERSON VILLAGE SCHOOL|13.35
LIVERMORE ELEMENTARY SCHOOL|13.36
GRAY-NEW GLOUCESTER MIDDLE SCHOOL|13.39
FORT STREET SCHOOL|13.41
HERMON ELEMENTARY SCHOOL|13.41
GEORGE E JACK SCHOOL|13.43
RIVER VIEW COMMUNITY SCHOOL|13.43
WINTHROP GRADE SCHOOL|13.44
RUSSELL SCHOOL|13.45
SPRUCE MOUNTAIN MIDDLE SCHOOL|13.47
CENTER DRIVE SCHOOL|13.5
WINDHAM MIDDLE SCHOOL|13.5
POLAND COMMUNITY SCHOOL|13.51
WOOLWICH CENTRAL SCHOOL|13.53
LISBON COMMUNITY SCHOOL|13.55
CENTRAL HIGH SCHOOL|13.56
OXFORD ELEMENTARY SCHOOL|13.56
WESTBROOK MIDDLE SCHOOL|13.58
SUZANNE M SMITH ELEMENTARY SCHOOL|13.64
YARMOUTH ELEMENTARY SCHOOL|13.64
CONGIN SCHOOL|13.65
MADISON AREA MEMORIAL H S|13.66
GORHAM HIGH SCHOOL|13.67
LINE ELEMENTARY|13.67
BANGOR HIGH SCHOOL|13.69
BREWER HIGH SCHOOL|13.71
MASSABESIC HIGH SCHOOL|13.74
HERMON HIGH SCHOOL|13.77
POND COVE ELEMENTARY|13.79
W G MALLETT SCHOOL|13.8
PORTLAND HIGH SCHOOL|13.82
BRUCE M WHITTIER MIDDLE SCHOOL|13.83
LAURA E RICHARDS SCHOOL|13.83
GORHAM MIDDLE SCHOOL|13.84
SKOWHEGAN AREA HIGH SCHOOL|13.84
MAPLETON ELEMENTARY SCHOOL|13.89
HARRINGTON ELEMENTARY SCHOOL|13.9
TELSTAR HIGH SCHOOL|13.91
BRADFORD ELEMENTARY SCHOOL|13.92
PISCATAQUIS COMMUNITY SECONDARY SCH|13.93
MORSE MEMORIAL SCHOOL|13.94
HARRIET BEECHER STOWE ELEMENTARY|13.95
CHINA MIDDLE SCHOOL|13.98
STETSON ELEMENTARY SCHOOL|13.98
MANCHESTER SCHOOL|13.99
LISBON HIGH SCHOOL|14
BIDDEFORD HIGH SCHOOL|14.07
WATERVILLE SENIOR HIGH SCHOOL|14.11
BURCHARD A DUNN SCHOOL|14.13
FAIRVIEW SCHOOL|14.16
DEERING HIGH SCHOOL|14.17
MESSALONSKEE HIGH SCHOOL|14.22
MT VIEW HIGH SCHOOL|14.22
MANSON PARK SCHOOL|14.27
MARGARET CHASE SMITH SCH.-SANFORD|14.27
HEBRON STATION SCHOOL|14.29
MILDRED L DAY SCHOOL|14.31
SE DO MO CHA ELEMENTARY SCHOOL|14.35
VILLAGE ELEMENTARY SCHOOL-GORHAM|14.35
CARRABEC COMMUNITY SCHOOL|14.37
GREAT FALLS ELEMENTARY SCHOOL|14.37
VICKERY SCHOOL|14.38
CASCO BAY HIGH SCHOOL|14.39
MASSABESIC MIDDLE SCHOOL|14.43
PARIS ELEMENTARY SCHOOL|14.45
MILO ELEMENTARY SCHOOL|14.48
MORSE STREET SCHOOL|14.5
WINSLOW JUNIOR HIGH SCHOOL|14.53
CHARLES A SNOW SCHOOL|14.54
CENTRAL SCHOOL|14.55
WINDHAM PRIMARY SCHOOL|14.56
JOHN F KENNEDY MEMORIAL SCHOOL|14.61
KENNEBUNK ELEMENTARY SCHOOL|14.69
OXFORD HILLS COMPREHENSIVE H S|14.73
THOMAS J MCMAHON ELEMENTARY SCH|14.75
HELEN THOMPSON SCHOOL|14.8
OCEAN AVENUE|14.91
PRESQUE ISLE HIGH SCHOOL|14.91
HOULTON ELEMENTARY SCHOOL|14.94
SAD #53 ALTERNATIVE EDUCATION|15
VAN BUREN ELEMENTARY SCHOOL|15.01
DEXTER REGIONAL HIGH SCHOOL|15.02
BREWER COMMUNITY SCHOOL|15.06
ELIOT ELEMENTARY SCHOOL|15.11
CONY|15.23
SABATTUS PRIMARY SCHOOL|15.38
LILLIAN PARKS HUSSEY SCHOOL|15.39
MORSE HIGH SCHOOL|15.43
MARSHWOOD HIGH SCHOOL|15.47
FRUIT STREET SCHOOL|15.51
DIKE-NEWELL SCHOOL|15.53
AMES ELEMENTARY SCHOOL|15.56
LYMAN ELEMENTARY SCHOOL|15.6
WATERBORO ELEMENTARY SCHOOL|15.64
MARTEL SCHOOL|15.9
EVA HOYT ZIPPEL SCHOOL|15.91
PRESQUE ISLE MIDDLE SCHOOL|15.93
HARTLAND CONSOLIDATED SCHOOL|15.96
SKOWHEGAN AREA MIDDLE SCHOOL|16
LIBBY-TOZIER SCHOOL|16.54
GEORGE J MITCHELL SCHOOL|16.55
EAST AUBURN COMMUNITY SCHOOL|16.61
RAYMOND A. GEIGER ELEMENTARY SCHOOL|16.81
WELLINGTON SCHOOL|17.09
PINE STREET ELEMENTARY SCHOOL|17.13
HUDSON ELEMENTARY SCHOOL|17.54
VALLEY RIVERS MIDDLE SCHOOL|17.96
HARPSWELL COASTAL ACADEMY|19.33
FAIRFIELD PRIMARY SCHOOL|20.49
NORTH ELEMENTARY SCHOOL|22
UNITY ELEMENTARY SCHOOL|-
ATHENS COMMUNITY SCHOOL|-
BATH REGIONAL CAREER & TECHNICAL|-
BIDDEFORD REGIONAL CTR OF TECH|-
CAPITAL AREA TECHNICAL CENTER|-
CARIBOU REGIONALTECHNOLOGY CTR|-
CHERRYFIELD ELEMENTARY|-
COASTAL WASH CTY INST OF TECH|-
EARL C MCGRAW SCHOOL|-
FOSTER REGIONAL APPLIED TECH CTR|-
GEORGE B WEATHERBEE SCHOOL|-
GLENBURN ELEMENTARY SCHOOL|-
GOVERNOR BAXTER SCHOOL FOR THE DEAF|-
HAMPDEN ACADEMY|-
HANCOCK COUNTY TECHNICAL CENTER|-
LAKE REGION VOCATIONAL CENTER|-
LEROY H SMITH SCHOOL|-
LEWISTON REGIONAL TECHNOLOGY CTR|-
MAINE REGION TEN TECHNICAL HIGH SCH|-
